rank	word	occurrences (ppm)	lemma forms
1.	que	32894	que
2.	de	32116	de
3.	no	29897	no
4.	a	22313	a
5.	la	21127	la
6.	el	18112	el
7.	es	16620	ser
8.	y	15743	y
9.	en	15303	en
10.	lo	14010	lo
11.	un	13410	un
12.	por	10261	por
13.	qué	9903	qué
14.	me	9692	me
15.	una	8656	un
16.	te	8094	te
17.	los	7589	lo
18.	se	7426	se
19.	con	6799	con
20.	para	6455	para
21.	mi	5987	mi
22.	está	5909	estar
23.	si	5880	si
24.	bien	5293	bien
25.	pero	5012	pero
26.	yo	4800	yo
27.	eso	4788	eso
28.	las	4748	la
29.	sí	4704	sí
30.	su	4549	su
31.	tu	4194	tu
32.	aquí	3952	aquí
33.	del	3911	del
34.	al	3887	al
35.	como	3760	como
36.	le	3470	le
37.	más	3395	más
38.	esto	3152	esto
39.	ya	2944	ya
40.	todo	2929	todo
41.	esta	2927	esta
42.	vamos	2830	ir
43.	muy	2618	muy
44.	hay	2584	haber
45.	ahora	2523	ahora
46.	algo	2469	algo
47.	estoy	2454	estar
48.	tengo	2349	tener
49.	nos	2247	nos
50.	tú	2232	tú
51.	nada	2122	nada
52.	cuando	2098	cuando
53.	ha	2079	haber
54.	este	2069	este
55.	sé	2066	saber
56.	estás	2045	estar
57.	así	2044	así
58.	puedo	1972	poder
59.	cómo	1969	cómo
60.	quiero	1940	querer
61.	sólo	1933	sólo
62.	soy	1913	ser
63.	tiene	1908	tener
64.	gracias	1886	gracias
65.	o	1850	o
66.	él	1836	él
67.	bueno	1824	bueno
68.	fue	1811	ser ir
69.	ser	1782	ser
70.	hacer	1749	hacer
71.	son	1703	ser
72.	todos	1687	todo
73.	era	1677	ser
74.	eres	1677	ser
75.	vez	1652	vez
76.	tienes	1636	tener
77.	creo	1584	creer
78.	ella	1570	ella
79.	he	1570	haber
80.	ese	1508	ese
81.	voy	1478	ir
82.	puede	1433	poder
83.	sabes	1422	saber
84.	hola	1393	hola
85.	sus	1384	su
86.	porque	1362	porque
87.	dios	1356	dios
88.	quién	1351	quién
89.	nunca	1342	nunca
90.	dónde	1335	dónde
91.	quieres	1331	querer
92.	casa	1330	casa casar
93.	favor	1313	favor
94.	esa	1306	ese
95.	dos	1301	dos
96.	tan	1291	tanto
97.	señor	1289	señor
98.	tiempo	1288	tiempo
99.	verdad	1269	verdad
100.	estaba	1250	estar
101.	mejor	1234	mejor
102.	están	1232	estar
103.	va	1219	ir
104.	hombre	1219	hombre
105.	usted	1218	usted
106.	mucho	1208	mucho
107.	hace	1195	hacer
108.	entonces	1194	entonces
109.	siento	1186	sentir sentar
110.	tenemos	1177	tener
111.	puedes	1134	poder
112.	ahí	1126	ahí
113.	ti	1103	ti
114.	vida	1101	vida
115.	ver	1097	ver
116.	alguien	1046	alguien
117.	sr	1040	señor
118.	hasta	1032	hasta
119.	sin	1029	sin
120.	mí	1022	mí
121.	solo	1013	solo
122.	años	1003	año
123.	sobre	996	sobre
124.	decir	995	decir
125.	uno	993	uno
126.	siempre	986	siempre
127.	oh	985	oh
128.	ir	964	ir
129.	cosas	962	cosa coser
130.	también	962	también
131.	antes	955	antes
132.	has	942	haber
133.	ni	941	ni
134.	mis	937	mi
135.	día	917	día
136.	estar	907	estar
137.	estamos	906	estar
138.	noche	868	noche
139.	nadie	865	nadie
140.	otra	857	otro
141.	quiere	855	querer
142.	parece	851	parecer
143.	nosotros	847	nosotros
144.	poco	844	poco
145.	padre	833	padre
146.	trabajo	828	trabajo trabajar
147.	gente	827	gente
148.	mira	825	mirar
149.	vas	817	ir
150.	sea	814	ser
151.	les	806	les
152.	donde	806	donde
153.	mismo	796	mismo
154.	hecho	795	hacer hecho
155.	ellos	792	ellos
156.	dijo	770	decir
157.	pasa	751	pasar
158.	dinero	740	dinero
159.	hijo	728	hijo
160.	tal	724	tal
161.	otro	710	otro
162.	hablar	706	hablar
163.	seguro	704	seguro
164.	claro	699	claro
165.	estas	685	este
166.	lugar	684	lugar
167.	mundo	683	mundo
168.	amigo	678	amigo
169.	espera	674	esperar espera
170.	mierda	673	mierda
171.	han	673	haber
172.	tus	670	tu
173.	sabe	669	saber
174.	después	661	después
175.	momento	656	momento
176.	desde	653	desde
177.	fuera	650	fuera ir ser
178.	cosa	648	cosa coser
179.	tipo	647	tipo
180.	mañana	646	mañana
181.	podemos	623	poder
182.	dije	617	decir
183.	gran	608	grande
184.	necesito	607	necesitar
185.	estado	597	estar estado
186.	podría	591	poder
187.	acuerdo	591	acordar acuerdo
188.	papá	587	papá
189.	tener	583	tener
190.	dice	583	decir
191.	mío	581	mío
192.	crees	580	creer
193.	buena	578	bueno buena
194.	gusta	573	gustar
195.	nuestro	573	nuestro
196.	nuevo	572	nuevo
197.	será	570	ser
198.	haciendo	568	hacer
199.	días	566	día
200.	nombre	565	nombre
201.	buen	565	bueno
202.	había	564	haber
203.	ven	564	ver venir
204.	tres	562	tres
205.	menos	560	menos
206.	debe	560	deber
207.	tenía	555	tener
208.	mal	553	mal
209.	conmigo	551	conmigo
210.	madre	549	madre
211.	hoy	548	hoy
212.	quien	547	quien
213.	sido	534	ser
214.	mamá	530	mamá
215.	tienen	529	tener
216.	luego	519	luego
217.	todas	516	todo
218.	allí	507	allí
219.	toda	502	todo
220.	hora	498	hora
221.	mujer	495	mujer
222.	visto	490	ver
223.	haces	490	hacer
224.	importa	487	importar
225.	contigo	486	contigo
226.	ve	481	ver ir
227.	tarde	480	tarde tardar
228.	oye	480	oír
229.	parte	479	partir parte
230.	haber	477	haber
231.	hombres	477	hombre
232.	problema	470	problema
233.	mas	469	mas
234.	saber	465	saber
235.	quería	463	querer
236.	aún	461	aún
237.	veces	460	vez
238.	nuestra	458	nuestro
239.	hacerlo	454	hacer
240.	cada	449	cada
241.	hizo	440	hacer
242.	veo	439	ver
243.	tanto	438	tanto
244.	razón	437	razón
245.	ustedes	437	usted
246.	idea	432	idea
247.	esos	426	eso
248.	van	424	ir
249.	quizá	422	quizá
250.	debo	421	deber
251.	alguna	420	alguno
252.	cierto	419	cierto
253.	ud	414	usted
254.	muerto	413	muerto morir
255.	unos	410	un
256.	estos	408	este
257.	salir	407	salir
258.	policía	407	policía
259.	realmente	402	realmente
260.	demasiado	402	demasiado
261.	familia	399	familia
262.	pueden	396	poder
263.	cabeza	396	cabeza
264.	hemos	391	haber
265.	amigos	386	amigo
266.	chica	383	chico chica
267.	cariño	382	cariño
268.	lado	382	lado
269.	allá	380	allá
