rank	word	occurrences (ppm)	lemma forms
4515.	digno	14	digno
4516.	desean	14	desear
4517.	darse	14	dar
4518.	considerar	14	considerar
4519.	bancos	14	banco
4520.	poción	14	poción
4521.	perdóneme	14	perdonar
4522.	pensabas	14	pensar
4523.	generoso	14	generoso
4524.	estatua	14	estatua
4525.	convencer	14	convencer
4526.	conocida	14	conocida conocido conocer
4527.	comenzamos	14	comenzar
4528.	aceptado	14	aceptado aceptar
4529.	rob	14	rob Rob
4530.	importar	14	importar
4531.	fracaso	14	fracaso fracasar
4532.	ciertos	14	cierto
4533.	bomberos	14	bombero
4534.	sorprendido	14	sorprendido sorprender
4535.	protegido	14	protegido proteger
4536.	presenta	14	presentar
4537.	metí	14	meter
4538.	entenderlo	14	entender
4539.	detengan	14	detener
4540.	conflicto	14	conflicto
4541.	códigos	14	código
4542.	seco	14	seco
4543.	sabiendo	14	saber
4544.	hacerla	14	hacer
4545.	graves	14	grave
4546.	dejarás	14	dejar
4547.	convencido	14	convencido convencer
4548.	comprende	14	comprender
4549.	bromas	14	broma
4550.	oyen	14	oír
4551.	moleste	14	molestar
4552.	mencionar	14	mencionar
4553.	gastos	14	gasto
4554.	estaríamos	14	estar
4555.	esperaremos	14	esperar
4556.	encontrarán	14	encontrar
4557.	billetes	14	billete
4558.	arco	14	arco
4559.	altos	14	alto
4560.	actores	14	actor
4561.	talvez	14	talvez
4562.	sitios	14	sitio
4563.	saluda	14	saludar
4564.	quejas	14	queja quejar
4565.	planeando	14	planear
4566.	moriremos	14	morir
4567.	marica	14	marica
4568.	habrías	14	haber
4569.	estarían	14	estar
4570.	dejarán	14	dejar
4571.	amantes	14	amante
4572.	acostumbrado	14	acostumbrado acostumbrar
4573.	torneo	14	torneo tornear
4574.	planos	14	plano
4575.	ordeno	14	ordenar
4576.	miré	14	mirar
4577.	maldicion	14	maldición
4578.	kg	14	kg kilogramo
4579.	dirías	14	decir
4580.	confirmado	14	confirmado confirmar
4581.	vacas	14	vaca
4582.	quirófano	14	quirófano
4583.	ponerlo	14	poner
4584.	origen	14	origen
4585.	fusión	14	fusión
4586.	deberá	14	deber
4587.	verdaderos	14	verdadero
4588.	serían	14	ser
4589.	seguía	14	seguir
4590.	sabrán	14	saber
4591.	pasaje	14	pasaje
4592.	necesidades	14	necesidad
4593.	lavado	14	lavado lavar
4594.	galaxia	14	galaxia
4595.	fresca	14	fresco
4596.	doloroso	14	doloroso
4597.	comenzado	14	comenzar
4598.	uñas	14	uña
4599.	trajes	14	traje
4600.	perfil	14	perfil
4601.	necesitará	14	necesitar
4602.	manejando	14	manejar
4603.	lola	14	lola lolo Lola
4604.	lentes	14	lente lentes
4605.	engañar	14	engañar
4606.	cállense	14	callar
4607.	bate	14	bate batir
4608.	automático	14	automático
4609.	tuyas	14	tuyo
4610.	quedarás	14	quedar
4611.	profunda	14	profundo
4612.	piensen	14	pensar
4613.	permiten	14	permitir
4614.	heredero	14	heredero
4615.	entraron	14	entrar
4616.	canadá	14	Canadá
4617.	caminos	14	camino
4618.	sintió	14	sentir
4619.	robé	14	robar
4620.	porno	14	porno
4621.	lejano	14	lejano
4622.	intercambio	14	intercambio intercambiar
4623.	hojas	14	hoja
4624.	dispare	14	disparar
4625.	cuan	14	cuan
4626.	champaña	14	champaña
4627.	atractiva	14	atractivo
4628.	terminal	14	terminal
4629.	rita	14	rito Rita
4630.	poesía	14	poesía
4631.	pierda	14	perder
4632.	expertos	14	experto
4633.	ensalada	14	ensalada
4634.	convertir	14	convertir
4635.	calientes	14	caliente
4636.	autopsia	14	autopsia
4637.	tristeza	14	tristeza
4638.	tiendas	14	tienda tender
4639.	mafia	14	mafia
4640.	jodas	14	joder
4641.	escuchó	14	escuchar
4642.	enormes	14	enorme
