"1_Mot"	"2_Phono"	"3_Phono_IPA"	"4_Lemme"	"5_Cgram"	"6_CgramOrtho"	"7_Genre"	"8_Nombre"	"9_InfoVER"	"10_FreqMot"	"11_FreqOrtho"	"12_FreqLemme"	"13_CDOrtho"	"14_IsLem"	"15_NbLettres"	"16_NbPhons"	"17_OLD20"	"18_PLD20"	"19_CVOrtho"	"20_CVPhono"	"21_VoisOrtho"	"22_VoisPhono"	"23_NbHomog"	"24_NbHomoph"	"25_SyllPhono"	"26_SyllNb"	"27_SyllCV"	"28_PUOrtho"	"29_PUPhon"	"30_MorphoBase"	"31_MorphoStruct"	"32_MorphoDecomp"	"33_Preval"	"34_PrevalNb"	"35_RT_FLP"	"36_zRT_FLP"	"37_Err_FLP"
si	si	si	si	ADV	NOM,CON,ADV	""	""	""	2881.589	4392.196	2881.975	99.39682	1	2	2	1	1	CV	CV	23	30	2	12	si	1	CV	2	2	""	"0-0-0"	""			673	-0.329209751	0.04
ce	s2	sø	ce	ADJ:dem	PRO:dem,ADJ:dem	m	s	""	2837.642	7973.902	6521.715	99.63870	1	2	2	1	1	CV	CV	22	25	1	2	s2	1	CV	2	2	ce	"0-1-0"	/ce			665.4545455	-0.404387213	0.08
fait	fE	fɛ	faire	VER	VER,ADJ,NOM	""	s	ind:pre:3,par:pas:	2781.813	3331.456	9061.728	99.11359	0	4	2	1	1	CVVC	CV	14	27	2	8	fE	1	CV	4	2	faire	"0-1-1"	/fai(re).t	100	19	571.5416667	-0.925901622	0
était	etE	etɛ	être	VER	VER,AUX,NOM	""	s	ind:imp:3	2741.959	3110.835	35040.212	98.03429	0	5	3	1.55	1	VVCVVC	VCV	5	14	2	9	e-tE	2	V-CV	6	3	""	""	""	100	19	601.84	-0.665456441	0
sais	sE	sɛ	savoir	VER	VER	""	""	ind:pre:2,ind:pre:1,imp:pre:2	2731.453	2731.462	4973.842	97.78781	0	4	2	1	1	CVVC	CV	24	28	0	2	sE	1	CV	0	2	""	"0-0-0"	""	100	20	673.56	-0.213592244	0
se	s°	sə	se	PRO:per	PRO:per,NOM	""	""	""	2685.443	2689.082	5002.028	99.14727	1	2	2	1	1.55	CV	CVV	17	51	1	1	s°	1	CV	2	3	se	"0-1-0"	/se					
suis	s8i	sɥi	être	VER	VER,AUX,NOM	""	s	imp:pre:2,ind:pre:2,ind:pre:1	2648.307	4148.911	35040.212	99.10900	0	4	3	1	1	CVVC	CYV	23	17	3	7	s8i	1	CYV	4	3	""	""	""	100	23	730.3043478	-0.162277417	0
ai	E	ɛ	avoir	VER	VER,AUX,NOM	""	s	ind:pre:1	2426.620	7626.703	13032.016	99.38916	0	2	1	1	1	VV	V	30	37	2	21	E	1	V	2	1	""	""	""	93	16	735.6	0.151870586	0.36
veux	v2	vø	vouloir	VER	VER	""	p	ind:pre:2,ind:pre:1	2414.044	2414.320	5239.237	97.50765	0	4	2	1.25	1	CVVC	CV	9	24	0	3	v2	1	CV	0	2	""	""	""	94	17	661.0555556	-0.013576345	0.28
ici	isi	isi	ici	ADV	ADJ:num,NOM,ADV	""	""	""	2271.794	2273.468	2272.699	97.80465	1	3	3	1.95	1.05	VCV	VCV	0	16	2	3	i-si	2	V-CV	3	3	""	"0-1-0"	/ici			645.5	-0.604659772	0.083333333
qu'	k	k	qu'	PRO:rel	PRO:rel,PRO:int,CON	""	""	""	2216.399	7310.250	6013.373	99.48561	1	3	1	1.7	1	CV'	C	5	113	2	5	k	1	C	3	1	""	""	""					
toi	twa	twa	toi	PRO:per	PRO:per,NOM	""	s	""	2202.291	2202.408	2817.525	94.54838	1	3	3	1.05	1	CVV	CYV	15	19	1	5	twa	1	CYV	3	3	toi	"0-1-0"	/toi			655.625	-0.298058232	0
comme	kOm	kɔm	comme	CON	ADV,CON	""	""	""	2187.566	2706.038	2187.962	98.97581	1	5	3	1.4	1	CVCCV	CVC	9	26	1	4	kOm	1	CVC	5	3	comme	"0-1-0"	/comme			579.68	-0.774287156	0
dit	di	di	dire	VER	VER,NOM,ADJ	""	s	ind:pre:3,ind:pas:3,ind:fut:3,par:pas:	2182.177	2201.187	6099.386	97.61482	0	3	2	1	1	CVC	CV	22	31	2	8	di	1	CV	3	2	dire	"0-1-1"	/di(re).t	100	23	564.7307692	-0.910945712	0
lui	l8i	lɥi	lui	PRO:per	PRO:per,VER	""	s	""	2141.630	2144.671	2610.851	97.30251	1	3	3	1	1.25	CVV	CYV	17	10	1	3	l8i	1	CYV	3	3	lui	"0-1-0"	/lui	91	12	643.875	-0.651715999	0.04
votre	vOtR	vɔtʁ	votre	ADJ:pos	PRO:pos,ADJ:pos	""	s	""	2106.601	2107.215	2759.155	93.19198	1	5	4	1.75	1.65	CVCCV	CVCC	4	28	1	1	vOtR	1	CVCC	4	2	votre	"0-1-0"	/votre					
as	a	a	avoir	AUX	NOM,VER,AUX	""	p	ind:pre:2	2096.155	3252.560	19741.582	95.84813	0	2	1	1	1	VC	V	29	37	2	9	a	1	V	2	1	as	"0-1-0"	/as	93	16	746.1666667	-0.017675158	0.24
là	la	la	là	ADV	ONO,ADV	""	""	""	1979.250	2007.620	2140.142	97.04685	1	2	2	1.85	1	CVV	CV	2	31	1	7	la	1	CV	2	2	là	"0-1-0"	/là			599.8181818	-0.507740151	0.043478261
